Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,
Name:EL10.7EC-EL1.9EC-EL5.0EC-EL5.5GC-EL5.6EC-EL7.1EC-EL7.1SEC-EL7.6SECT-EL7.9EC-EL8.1GC-EL8.2EC-EL8.5SEC-EL8.6SECUT-EL9.9EC-EL-Englewood-EL-Knox ,,,,,,,,,,,,,,,
Medium:Water,,,,,,,,,,,,,,,
Parameters: all ,,,,,,,,,,,,,,,
Project: Ambient,,,,,,,,,,,,,,,
Time Period:2016-05-02 ~ 2022-05-02,,,,,,,,,,,,,,,
Data was downloaded on May 23 2022 11:41 am,,,,,,,,,,,,,,,
The data contains the QA code. ,,,,,,,,,,,,,,,
For Help with QA code, please check http://www.durhamwaterquality.org/QAcode.php,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Station Name,Filtered,Parameter,Date/Time,Value,QA Code,Unit,QAQC Sample,Comments,Rain in Last 24 Hours,Sky Condition,Flow Severity,Comp  Code,Thalweg,Lab,Project
EL1.9EC,,Ammonia Nitrogen,5/1/18 8:45,0.09,,mg/L,,NDWRF dewatering from construction area on 4/30,No,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,6/5/18 9:15,0.062,,mg/L,,merky water and strong sewage odor,No,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,7/10/18 8:50,0.13,,mg/L,, ,No,Sunny,2,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,8/7/18 9:35,0.06,,mg/L,, ,No,Sunny,2,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,9/4/18 9:40,0.04,U,mg/L,, ,No,Sunny,2,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,10/2/18 9:20,0.17,,mg/L,,Very high water could not reach thalwag,No,Partly Cloudy,4,G,No,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,11/6/18 8:55,0.04,U,mg/L,, ,Yes,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,12/4/18 10:00,0.04,J,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,1/8/19 9:50,0.11,,mg/L,, ,No,Partly Cloudy,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2/5/19 9:10,0.13,,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,3/5/19 9:30,0.68,,mg/L,,Duplicate Site Duplicate,Yes,Overcast,3,G,No,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,3/5/19 9:30,0.74,,mg/L,,Duplicate Site Duplicate,Yes,Overcast,3,G,No,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,4/2/19 9:20,0.04,U,mg/L,, ,No,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,5/7/19 9:00,0.14,,mg/L,, ,No,Partly Cloudy,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,6/5/19 9:10,0.06,,mg/L,, ,No,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,7/9/19 9:00,0.06,,mg/L,, ,Yes,Overcast,3,G,No,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,8/6/19 9:00,0.04,U,mg/L,, ,Yes,Overcast,3,G,No,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,9/3/19 9:30,0.04,J,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,10/1/19 9:30,0.04,U,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,11/5/19 9:15,0.06,,mg/L,,Duplicate Site Duplicate,No,Partly Cloudy,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,11/5/19 9:15,0.05,,mg/L,,Duplicate Site Duplicate,No,Partly Cloudy,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,12/3/19 9:05,0.04,U,mg/L,,Organic foam on water surfaace,No,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,1/7/20 9:15,0.05,,mg/L,, ,No,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2/4/20 9:15,0.04,U,mg/L,, ,No,Partly Cloudy,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,3/3/20 9:20,0.04,J,mg/L,,Duplicate,No,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,3/3/20 9:20,0.04,U,mg/L,,Duplicate,No,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,5/12/20 8:15,0.04,U,mg/L,,"Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020",No,Partly Cloudy,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,6/9/20 8:45,0.06,,mg/L,, ,,,,,,,Ambient
EL1.9EC,,Ammonia Nitrogen,7/7/20 8:50,0.07,,mg/L,, ,Yes,Partly Cloudy,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,8/4/20 8:50,0.38,,mg/L,,Heavy rains overnight from hurricane.,Yes,Partly Cloudy,4,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,9/1/20 9:15,0.71,,mg/L,, ,Yes,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,10/6/20 9:15,0.04,"U,J2",mg/L,, ,No,Sunny,2,G,Yes,SDWRF,Ambient
